Time	[RA]	[cyp26_mRNA]	[CYP26]	[FGF]	[FGF_mRNA]
0	0.1	0.1	0.1	1	1.5
1	2.62497	4.25524	2.43944	0.396469	1.5
2	0.982077	4.34775	5.80949	0.165531	1.5
3	0.665578	3.2152	7.64234	0.124993	1.5
4	0.6019	2.74196	8.31303	0.134926	1.5
5	0.576397	2.75729	8.66097	0.148527	1.5
6	0.553273	2.93863	9.02764	0.160863	1.5
7	0.526649	3.1747	9.49089	0.174324	1.5
8	0.496873	3.45061	10.065	0.190786	1.5
9	0.464971	3.76968	10.759	0.211332	1.5
10	0.432005	4.12999	11.5811	0.23673	1.5
11	0.399178	4.52011	12.5316	0.267486	1.5
12	0.36777	4.92001	13.5963	0.303646	1.5
13	0.338916	5.30541	14.7449	0.344561	1.5
14	0.313401	5.65431	15.9339	0.388808	1.5
15	0.291567	5.95256	17.1144	0.434406	1.5
16	0.273359	6.19567	18.2415	0.479221	1.5
17	0.258458	6.38684	19.2813	0.521407	1.5
18	0.246415	6.53357	20.213	0.559674	1.5
19	0.236759	6.64461	21.0282	0.59335	1.5
20	0.229053	6.72812	21.728	0.622282	1.5
21	0.222916	6.7909	22.3199	0.646687	1.5
22	0.218033	6.83824	22.8146	0.666991	1.5
23	0.214149	6.87413	23.2243	0.68371	1.5
24	0.211057	6.90151	23.5612	0.697375	1.5
25	0.208594	6.92254	23.8367	0.708482	1.5
26	0.206631	6.9388	24.061	0.717476	1.5
27	0.205066	6.95143	24.2429	0.724737	1.5
28	0.203817	6.9613	24.3901	0.730587	1.5
29	0.202819	6.96905	24.509	0.735293	1.5
30	0.202022	6.97514	24.6048	0.739074	1.5
31	0.201385	6.97996	24.6819	0.742109	1.5
32	0.200876	6.98378	24.7439	0.744546	1.5
33	0.200468	6.98681	24.7938	0.7465	1.5
34	0.200142	6.98921	24.8338	0.748066	1.5
35	0.199882	6.99113	24.8659	0.749322	1.5
36	0.199673	6.99265	24.8916	0.750328	1.5
37	0.199506	6.99387	24.9123	0.751134	1.5
38	0.199373	6.99485	24.9288	0.75178	1.5
39	0.199266	6.99562	24.942	0.752297	1.5
40	0.19918	6.99624	24.9527	0.752711	1.5
41	0.199112	6.99674	24.9612	0.753043	1.5
42	0.199057	6.99714	24.968	0.753308	1.5
43	0.199013	6.99745	24.9735	0.753521	1.5
44	0.198978	6.99771	24.9778	0.753691	1.5
45	0.19895	6.99791	24.9813	0.753828	1.5
46	0.198927	6.99807	24.9841	0.753937	1.5
47	0.198909	6.9982	24.9864	0.754025	1.5
48	0.198894	6.99831	24.9882	0.754095	1.5
49	0.198883	6.99839	24.9897	0.754152	1.5
50	0.198873	6.99846	24.9908	0.754197	1.5
51	0.198866	6.99851	24.9917	0.754233	1.5
52	0.19886	6.99855	24.9925	0.754262	1.5
53	0.198855	6.99859	24.9931	0.754285	1.5
54	0.198851	6.99862	24.9936	0.754303	1.5
55	0.198848	6.99864	24.9939	0.754318	1.5
56	0.198846	6.99866	24.9942	0.75433	1.5
57	0.198844	6.99867	24.9945	0.754339	1.5
58	0.198842	6.99868	24.9947	0.754347	1.5
59	0.198841	6.99869	24.9948	0.754353	1.5
60	0.19884	6.9987	24.995	0.754358	1.5
61	0.198839	6.9987	24.9951	0.754362	1.5
62	0.198839	6.99871	24.9951	0.754365	1.5
63	0.198838	6.99871	24.9952	0.754367	1.5
64	0.198838	6.99871	24.9953	0.754369	1.5
65	0.198837	6.99872	24.9953	0.754371	1.5
66	0.198837	6.99872	24.9953	0.754372	1.5
67	0.198837	6.99872	24.9953	0.754373	1.5
68	0.198837	6.99872	24.9954	0.754374	1.5
69	0.198837	6.99872	24.9954	0.754375	1.5
70	0.198837	6.99872	24.9954	0.754375	1.5
71	0.198836	6.99872	24.9954	0.754375	1.5
72	0.198836	6.99872	24.9954	0.754376	1.5
73	0.198836	6.99873	24.9954	0.754376	1.5
74	0.198836	6.99873	24.9954	0.754376	1.5
75	0.198836	6.99873	24.9954	0.754376	1.5
76	0.198836	6.99873	24.9954	0.754377	1.5
77	0.198836	6.99873	24.9954	0.754377	1.5
78	0.198836	6.99873	24.9954	0.754377	1.5
79	0.198836	6.99873	24.9954	0.754377	1.5
80	0.198836	6.99873	24.9954	0.754377	1.5
81	0.198836	6.99873	24.9954	0.754377	1.5
82	0.198836	6.99873	24.9955	0.754377	1.5
83	0.198836	6.99873	24.9955	0.754377	1.5
84	0.198836	6.99873	24.9955	0.754377	1.5
85	0.198836	6.99873	24.9955	0.754377	1.5
86	0.198836	6.99873	24.9955	0.754377	1.5
87	0.198836	6.99873	24.9955	0.754377	1.5
88	0.198836	6.99873	24.9955	0.754377	1.5
89	0.198836	6.99873	24.9955	0.754377	1.5
90	0.198836	6.99873	24.9955	0.754377	1.5
91	0.198836	6.99873	24.9955	0.754377	1.5
92	0.198836	6.99873	24.9955	0.754377	1.5
93	0.198836	6.99873	24.9955	0.754377	1.5
94	0.198836	6.99873	24.9955	0.754377	1.5
95	0.198836	6.99873	24.9955	0.754377	1.5
96	0.198836	6.99873	24.9955	0.754377	1.5
97	0.198836	6.99873	24.9955	0.754377	1.5
98	0.198836	6.99873	24.9955	0.754377	1.5
99	0.198836	6.99873	24.9955	0.754377	1.5
100	0.198836	6.99873	24.9955	0.754377	1.5
