Time	[Carrier_Cytosol]	[Carrier_RanGTP_Cytosol]	[RanGAP_Cytosol]	[RanBP1_Cytosol]	[RanBP1_Carrier_RanGTP_Cytosol]	[NTF2_Nucleus]	[RanGDP_Nucleus]	[RCC1_Nucleus]	[RanGTP_Nucleus]	[NTF2_RanGDP_Nucleus]	[Carrier_Nucleus]	[RanGDP_Cytosol]	[Carrier_RanGTP_Nucleus]	[NTF2_RanGDP_Cytosol]	[FRanGTP_Cytosol]	[FCarrier_RanGTP_Cytosol]	[FRanGDP_Cytosol]	[FNTF2_RanGDP_Cytosol]	[FRanBP1_Carrier_RanGTP_Cytosol]	[FCarrier_RanGTP_Nucleus]	[FRanGDP_Nucleus]	[FNTF2_RanGDP_Nucleus]	[FRanGTP_Nucleus]	[NTF2_Cytosol]	[Pipet_Cytosol]	[RanGTP_Cytosol]
0	11.8953	0.00182967	0.5	2.91577	0.0842266	0.560889	0.046685	0.4	0.0118032	0.939111	10.8211	1.75546	11.5694	1.47618	0	0	1	0	0	0	0	0	0	0.0238218	0	0
1	11.8831	0.00181808	0.5	2.91534	0.0837765	0.606785	0.0354834	0.4	0.0116838	0.743816	10.7416	2.16362	11.4928	1.18418	0	2.82758e-05	0.559097	0.30021	0.000879897	0.184783	0.00759281	0.149398	0.000457488	0.0156148	0	0
2	11.8512	0.00179609	0.5	2.91482	0.0825959	0.618891	0.0343709	0.4	0.0116115	0.736142	10.6826	2.19609	11.3536	1.2134	0	7.13051e-05	0.476373	0.270659	0.00258093	0.459902	0.00726275	0.144967	0.000710214	0.015946	0	0
3	11.8198	0.00177768	0.5	2.91444	0.0815482	0.614957	0.0354804	0.4	0.0115539	0.756414	10.6506	2.20663	11.2381	1.24238	0	0.000106346	0.419832	0.241413	0.00401029	0.683264	0.0065022	0.128629	0.00089336	0.0162084	0	0
4	11.7936	0.00176357	0.5	2.91412	0.0807406	0.610148	0.0365702	0.4	0.0115091	0.774639	10.6281	2.21257	11.1495	1.26557	0	0.000133733	0.376516	0.218009	0.00513611	0.857681	0.00588124	0.115213	0.00103521	0.0164227	0	0
5	11.7725	0.00175288	0.5	2.91386	0.080129	0.606065	0.0374686	0.4	0.0114755	0.789221	10.6108	2.21609	11.0823	1.2838	0	0.00015501	0.343163	0.199598	0.00601508	0.993092	0.00538922	0.104714	0.00114526	0.0165973	0	0
6	11.7557	0.00174482	0.5	2.91363	0.0796681	0.602747	0.0381902	0.4	0.011451	0.8007	10.5973	2.21804	11.0316	1.29805	0	0.000171485	0.317506	0.185208	0.00669827	1.09789	0.00500207	0.096553	0.00123042	0.0167387	0	0
7	11.7423	0.00173879	0.5	2.91345	0.0793226	0.600095	0.0387632	0.4	0.0114333	0.809673	10.5867	2.21895	10.9936	1.30913	0	0.00018421	0.297789	0.174014	0.00722751	1.1788	0.00469916	0.0902322	0.00129618	0.0168527	0	0
8	11.7317	0.0017343	0.5	2.9133	0.0790649	0.597997	0.0392145	0.4	0.0114208	0.816653	10.5782	2.21918	10.9653	1.31772	0	0.000194021	0.282646	0.165339	0.00763642	1.24115	0.00446329	0.0853506	0.00134689	0.0169443	0	0
9	11.7233	0.00173098	0.5	2.91317	0.078874	0.596351	0.0395675	0.4	0.0114121	0.82206	10.5715	2.21897	10.9443	1.32434	0	0.000201573	0.271021	0.158638	0.00795172	1.28914	0.00428034	0.0815892	0.00138594	0.0170179	0	0
