Time	[mRNA]	[Betagalactosidase]	[allolactose]	[lactose_internal]	[permease]	[PartialmRNA]	[PartialBetagalactosidase]	[PartialPermease]	[External_Lactose]
0	0.000626	0	0.038	0.372	0.0149	0	0	0	0.08
1	0.000408858	1.81915e-06	0.0258383	0.618513	0.00824542	2.52879e-07	6.25176e-06	0.00397727	0.08
2	0.000267898	5.39484e-06	0.0336633	0.612326	0.00547208	3.72534e-07	7.87961e-06	0.00539381	0.08
3	0.00017953	9.11391e-06	0.0556673	0.603022	0.00421455	9.86991e-07	7.48087e-06	0.00550645	0.08
4	0.000129813	1.23438e-05	0.0825391	0.59241	0.00350941	2.18218e-06	6.40821e-06	0.00505606	0.08
5	0.000109059	1.49516e-05	0.107801	0.58135	0.00300814	3.73217e-06	5.34198e-06	0.00447393	0.08
6	0.000108471	1.70412e-05	0.128696	0.569975	0.00261352	5.30291e-06	4.58134e-06	0.00399106	0.08
7	0.000120111	1.88012e-05	0.144986	0.558491	0.00231484	6.68972e-06	4.20273e-06	0.00370314	0.08
8	0.000137915	2.0421e-05	0.15765	0.547549	0.00211822	7.85177e-06	4.16518e-06	0.00362192	0.08
9	0.000158106	2.20519e-05	0.168038	0.538126	0.00202308	8.8483e-06	4.38361e-06	0.0037173	0.08
10	0.000178907	2.37986e-05	0.177424	0.531067	0.00201915	9.77449e-06	4.77329e-06	0.00394702	0.08
11	0.000199941	2.57262e-05	0.186801	0.526646	0.00209076	1.07217e-05	5.27081e-06	0.00427363	0.08
12	0.00022161	2.78736e-05	0.196806	0.524498	0.00222191	1.17575e-05	5.83884e-06	0.00467148	0.08
13	0.000244598	3.0266e-05	0.207743	0.523921	0.00239962	1.29209e-05	6.46212e-06	0.00512718	0.08
14	0.00026955	3.29243e-05	0.219683	0.524239	0.00261525	1.42257e-05	7.13988e-06	0.00563674	0.08
15	0.000296923	3.58707e-05	0.232568	0.52498	0.00286422	1.56701e-05	7.87852e-06	0.0062017	0.08
16	0.000326957	3.91308e-05	0.246301	0.525873	0.00314498	1.72442e-05	8.68615e-06	0.00682583	0.08
17	0.000359715	4.2733e-05	0.260781	0.526785	0.00345775	1.89352e-05	9.56943e-06	0.00751291	0.08
18	0.000395124	4.67079e-05	0.275916	0.527645	0.00380344	2.07285e-05	1.05322e-05	0.0082655	0.08
19	0.000433011	5.10865e-05	0.291617	0.528411	0.00418294	2.26078e-05	1.15753e-05	0.00908438	0.08
20	0.000473125	5.58986e-05	0.307789	0.529054	0.00459662	2.45548e-05	1.26964e-05	0.0099684	0.08
21	0.000515141	6.11717e-05	0.324321	0.529548	0.0050441	2.65482e-05	1.38904e-05	0.0109145	0.08
22	0.000558668	6.69293e-05	0.341089	0.529874	0.00552411	2.85652e-05	1.51499e-05	0.0119175	0.08
23	0.000603259	7.31903e-05	0.357957	0.530016	0.00603444	3.05811e-05	1.64649e-05	0.0129707	0.08
24	0.000648426	7.99674e-05	0.374777	0.529964	0.00657195	3.25719e-05	1.78237e-05	0.0140655	0.08
25	0.00069366	8.72672e-05	0.391401	0.529711	0.00713264	3.45144e-05	1.92128e-05	0.0151919	0.08
26	0.000738454	9.50889e-05	0.407683	0.529254	0.00771174	3.63881e-05	2.06177e-05	0.016339	0.08
27	0.000782328	0.000103425	0.423488	0.528593	0.00830389	3.81756e-05	2.20233e-05	0.017495	0.08
