Time	[Per2 or Cry mRNA]	[PER2_CRY_complex_cytoplasm]	[PER2_CRY_complex_nucleus]	[Bmal1 mRNA]	[BMAL1_cytoplasm]	[BMAL1_nucleus]	[Active BMAL1]
0	0.2	0	1.1	0.8	1	1	1.05
1	0.250525	0.0304714	0.959879	0.619275	0.782744	1.11333	1.04855
2	0.424926	0.0668268	0.84507	0.460349	0.622714	1.12693	1.05225
3	0.861231	0.169985	0.758971	0.337441	0.499346	1.0822	1.05401
4	1.57414	0.54253	0.732742	0.256007	0.403257	1.00521	1.05021
5	2.00024	1.31621	0.842626	0.235398	0.331849	0.913576	1.03939
6	1.90574	2.01608	1.11352	0.332877	0.291535	0.821421	1.02153
7	1.70384	2.37609	1.46672	0.621472	0.300338	0.744512	0.997876
8	1.51288	2.47589	1.82251	1.09337	0.376889	0.702779	0.971094
9	1.34216	2.4142	2.13411	1.6384	0.520465	0.7153	0.945359
10	1.1905	2.26054	2.37959	2.13995	0.708343	0.791518	0.925746
11	1.05594	2.06074	2.55263	2.53736	0.910468	0.927636	0.91711
12	0.936568	1.84399	2.65595	2.81893	1.10232	1.10978	0.923069
13	0.830691	1.62828	2.69709	2.9963	1.26891	1.31967	0.945499
14	0.736785	1.42402	2.68571	3.08697	1.40336	1.53917	0.984517
15	0.653503	1.23669	2.63196	3.10665	1.50392	1.7529	1.03878
16	0.579649	1.06863	2.54545	3.06727	1.57146	1.94901	1.10589
17	0.514167	0.920182	2.43487	2.97732	1.60792	2.11908	1.18282
18	0.456128	0.790539	2.30766	2.84315	1.61552	2.25747	1.26617
19	0.404724	0.678263	2.17005	2.67035	1.59644	2.36077	1.35251
20	0.359271	0.581632	2.02711	2.46486	1.55299	2.42723	1.43845
21	0.319232	0.498853	1.88282	2.23383	1.48771	2.45646	1.52085
22	0.284276	0.428201	1.74026	1.98589	1.40365	2.44926	1.59684
23	0.254416	0.368102	1.60174	1.73077	1.30444	2.40755	1.66394
24	0.230325	0.317197	1.46893	1.47855	1.19427	2.33435	1.7201
25	0.214027	0.274416	1.34302	1.23851	1.07764	2.23366	1.76375
26	0.210397	0.239131	1.22484	1.01822	0.959061	2.11036	1.79384
27	0.230305	0.211589	1.11507	0.822864	0.842666	1.96985	1.80988
28	0.296759	0.194428	1.01456	0.655222	0.731924	1.81778	1.81187
29	0.454208	0.19829	0.92541	0.516181	0.629495	1.65964	1.80031
30	0.767747	0.260613	0.854306	0.406184	0.537316	1.50053	1.77611
31	1.24335	0.479573	0.821957	0.328543	0.457076	1.34504	1.74051
32	1.63235	0.940521	0.870883	0.296341	0.391476	1.19748	1.69503
33	1.67625	1.45637	1.02889	0.340255	0.34654	1.06281	1.64142
34	1.53764	1.78464	1.26249	0.499455	0.333208	0.948224	1.58181
35	1.37384	1.90881	1.51471	0.783492	0.363489	0.864	1.5189
36	1.22105	1.89227	1.74446	1.14807	0.441383	0.821375	1.45607
37	1.08388	1.79149	1.92995	1.5221	0.557981	0.827852	1.39727
38	0.961764	1.64586	2.0629	1.84805	0.695664	0.883617	1.34643
39	0.85329	1.48115	2.14331	2.09676	0.835727	0.981423	1.3068
40	0.757023	1.31351	2.17575	2.26133	0.963411	1.10908	1.2805
41	0.67163	1.15256	2.16705	2.34672	1.06928	1.25257	1.2683
42	0.595914	1.00357	2.12474	2.36221	1.14848	1.39845	1.26971
43	0.528817	0.869015	2.05622	2.31783	1.19936	1.53524	1.2832
44	0.469418	0.749595	1.96824	2.22315	1.22229	1.65398	1.30653
45	0.41694	0.644947	1.86673	2.08735	1.21891	1.74826	1.33695
