Time	[RuBP]	[PGA]	[DPGA]	[GAP]	[DHAP]	[FBP]	[F6P]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[G6P]	[G1P]	[ATP]	[ADP]	[NADPH]	[NADP]	[H]	[Pi]	[Pext]
0	2	2.4	0.0011	0.02	0.48	0.67	0.640764	0.05	0.3	2	0.0747384	0.125187	0.0500747	1.47376	0.085478	0.68	0.82	0.21	0.29	1.25893e-05	0.9778	0.5
1	0.0866055	2.18487	0.0657115	0.00492064	0.108254	0.00378189	1.25049	0.0253289	0.0356448	0.166772	0.0204062	0.0341803	0.0136721	2.87602	0.166803	1.4847	0.0153033	0.21	0.29	1.25893e-05	6.2801	0.5
2	0.0866323	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253383	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27542	0.5
3	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27541	0.5
4	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27542	0.5
5	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27542	0.5
6	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27542	0.5
7	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27541	0.5
8	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27541	0.5
9	0.0866324	2.1866	0.0657236	0.00492065	0.108254	0.0037819	1.25129	0.0253384	0.0356582	0.16686	0.0204116	0.0341893	0.0136757	2.87785	0.166909	1.48469	0.0153125	0.21	0.29	1.25893e-05	6.27541	0.5
