Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[OCT4_SOX2]	[Protein]
0	0	0	0	0.01	0	0	10	0.01	0.01	0.01	0.1	0
1	0	0	0	0.01	0	0	10	5.69827	5.69827	0.00420852	0.257679	0.0115971
2	0	0	0	0.01	0	0	10	6.96964	6.96964	0.00295319	0.465824	0.0495986
3	0	0	0	0.01	0	0	10	7.2064	7.2064	0.00282178	0.51534	0.0986126
4	0	0	0	0.01	0	0	10	7.24891	7.24891	0.00284356	0.524659	0.149543
5	0	0	0	0.01	0	0	10	7.25649	7.25649	0.00286534	0.526336	0.200409
6	0	0	0	0.01	0	0	10	7.25785	7.25785	0.00287617	0.526635	0.250849
7	0	0	0	0.01	0	0	10	7.25809	7.25809	0.0028808	0.526689	0.3008
8	0	0	0	0.01	0	0	10	7.25813	7.25813	0.00288267	0.526698	0.350257
9	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288341	0.5267	0.399223
10	0	0	0	0.01	0	0	10	7.25814	7.25814	0.0028837	0.5267	0.447701
11	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288381	0.5267	0.495697
12	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288385	0.5267	0.543215
13	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288387	0.5267	0.590261
14	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.636838
15	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.682952
16	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.728608
17	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.773809
18	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.81856
19	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.862866
20	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.90673
21	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.950159
22	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	0.993155
23	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.03572
24	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.07787
25	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.11959
26	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.1609
27	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.2018
28	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.2423
29	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.28239
30	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.32208
31	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.36137
32	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.40028
33	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.43879
34	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.47693
35	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.51468
36	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.55206
37	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.58907
38	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.62571
39	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.66198
40	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.6979
41	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.73345
42	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.76866
43	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.80351
44	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.83801
45	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.87218
46	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.906
47	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.93948
48	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	1.97264
49	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.00546
50	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.03795
51	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.07013
52	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.10198
53	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.13352
54	0	0	0	0.01	0	0	10	7.25814	7.25814	0.00288388	0.5267	2.16474
