Time	[Tbet_mRNA]	[Ifn_mRNA]	[Ag]	[Ifn_Prot]	[Rec_Prot]	[Tbet_Prot]	[Rec_mRNA]
0	0.044	0	1	0	0	44	0
1	0.0445161	0.000880459	1	0.019936	0.0561287	44.0094	0.000999458
2	0.052217	0.00445149	1	0.181358	0.166629	44.3291	0.00137015
3	0.0744681	0.00991776	1	0.542692	0.289636	46.0435	0.00152971
4	0.106592	0.016216	1	1.05584	0.413718	50.2624	0.00165911
5	0.139663	0.0228505	1	1.65618	0.540391	57.2425	0.00183942
6	0.16862	0.0297997	1	2.30726	0.675808	66.5277	0.00209599
7	0.192385	0.0372753	1	3.00407	0.826314	77.4323	0.00242395
8	0.211677	0.0455334	0.999999	3.76052	0.996497	89.3358	0.00280651
9	0.227563	0.0547715	0.999998	4.59607	1.18878	101.77	0.00322536
10	0.240903	0.0650948	0.999995	5.52705	1.40374	114.403	0.00366502
11	0.252266	0.0765199	0.999987	6.56275	1.6406	127.005	0.00411368
12	0.262007	0.0889945	0.99997	7.70499	1.89769	139.408	0.00456264
13	0.270367	0.102418	0.999933	8.94928	2.17279	151.49	0.00500557
14	0.277529	0.116662	0.99986	10.2865	2.46338	163.158	0.00543783
15	0.28365	0.13158	0.999721	11.7043	2.76679	174.345	0.00585607
16	0.288872	0.147024	0.999468	13.1891	3.08035	185.006	0.00625801
17	0.293322	0.162846	0.999024	14.7262	3.40148	195.111	0.00664235
18	0.297112	0.178907	0.998273	16.3013	3.72775	204.645	0.00700866
19	0.300333	0.19508	0.997039	17.9007	4.05698	213.605	0.00735747
20	0.303057	0.211253	0.995064	19.512	4.38728	221.994	0.00769029
21	0.305334	0.227333	0.991985	21.1241	4.71715	229.821	0.00800985
22	0.307194	0.243249	0.987298	22.7278	5.04556	237.101	0.00832025
23	0.308642	0.258951	0.980327	24.3162	5.37205	243.844	0.00862745
24	0.309656	0.274422	0.970202	25.8846	5.69687	250.063	0.00893966
25	0.310187	0.289674	0.955843	27.4313	6.02117	255.764	0.00926806
26	0.310153	0.30476	0.935994	28.9579	6.34723	260.946	0.00962765
27	0.309436	0.319781	0.90931	30.4701	6.67877	265.6	0.0100382
28	0.307883	0.334896	0.874523	31.9784	7.02131	269.704	0.0105254
29	0.305301	0.350334	0.830707	33.4992	7.38264	273.221	0.0111225
