Time	[intracellular glucose]	[G6P_F6P]	[fructose-6-phosphate]	[glyceraldehyde--phosphate]	[dihydroxyacetone-phosphate]	[DHAP-G3P pool]
0	10	3.71728	0.857834	0.000114334	0.00251533	0.00262966
1	10	3.73457	0.861825	0.000116273	0.00255797	0.00267424
2	10	3.75161	0.865756	0.000118226	0.00260095	0.00271917
3	10	3.76839	0.869628	0.000120194	0.00264425	0.00276445
4	10	3.7849	0.873439	0.000122178	0.00268789	0.00281007
5	10	3.80115	0.877189	0.000124177	0.00273186	0.00285603
6	10	3.81714	0.880878	0.000126191	0.00277616	0.00290236
7	10	3.83285	0.884505	0.00012822	0.00282081	0.00294903
8	10	3.8483	0.88807	0.000130265	0.00286579	0.00299606
9	10	3.86348	0.891572	0.000132325	0.00291112	0.00304344
10	10	3.87838	0.895012	0.000134401	0.00295679	0.00309119
11	10	3.89301	0.898388	0.000136493	0.00300281	0.00313931
12	10	3.90737	0.9017	0.000138601	0.00304919	0.00318779
13	10	3.92144	0.904948	0.000140725	0.00309593	0.00323665
14	10	3.93523	0.908131	0.000142866	0.00314303	0.00328589
15	10	3.94875	0.911249	0.000145024	0.0031905	0.00333552
16	10	3.96197	0.914301	0.000147199	0.00323834	0.00338554
17	10	3.97491	0.917287	0.000149391	0.00328658	0.00343597
18	10	3.98756	0.920207	0.000151602	0.0033352	0.0034868
19	10	3.99992	0.923059	0.00015383	0.00338423	0.00353806
20	10	4.01199	0.925844	0.000156077	0.00343367	0.00358975
21	10	4.02376	0.928561	0.000158344	0.00348353	0.00364188
22	10	4.03524	0.931209	0.00016063	0.00353383	0.00369446
23	10	4.04642	0.933788	0.000162937	0.00358458	0.00374752
24	10	4.05729	0.936297	0.000165265	0.0036358	0.00380106
25	10	4.06786	0.938736	0.000167615	0.0036875	0.00385511
26	10	4.07812	0.941104	0.000169988	0.00373971	0.00390969
27	10	4.08807	0.9434	0.000172385	0.00379244	0.00396483
28	10	4.09771	0.945624	0.000174808	0.00384573	0.00402054
29	10	4.10703	0.947775	0.000177256	0.0038996	0.00407686
30	10	4.11603	0.949852	0.000179733	0.00395409	0.00413382
31	10	4.12471	0.951855	0.000182239	0.00400922	0.00419146
32	10	4.13306	0.953782	0.000184777	0.00406506	0.00424984
33	10	4.14108	0.955633	0.000187349	0.00412165	0.004309
34	10	4.14876	0.957407	0.000189959	0.00417905	0.00436901
35	10	4.15611	0.959102	0.000192608	0.00423733	0.00442994
36	10	4.16311	0.960718	0.000195301	0.00429658	0.00449189
37	10	4.16976	0.962253	0.000198044	0.00435691	0.00455496
38	10	4.17606	0.963705	0.000200841	0.00441845	0.0046193
39	10	4.18199	0.965073	0.000203701	0.00448137	0.00468507
40	10	4.18754	0.966356	0.000206633	0.00454587	0.0047525
41	10	4.19272	0.96755	0.000209649	0.00461224	0.00482189
42	10	4.1975	0.968653	0.000212768	0.00468086	0.00489362
43	10	4.20187	0.969662	0.000216014	0.00475226	0.00496828
44	10	4.20581	0.970572	0.000219423	0.00482726	0.00504669
45	10	4.2093	0.971377	0.000223053	0.00490713	0.00513018
46	10	4.21231	0.972071	0.000227004	0.00499404	0.00522104
47	10	4.21477	0.972639	0.00023147	0.00509228	0.00532375
48	10	4.21659	0.973059	0.000236907	0.0052119	0.00544881
49	10	4.21755	0.97328	0.000244785	0.00538523	0.00563001
50	10	4.21674	0.973093	0.000264762	0.0058247	0.00608946
51	10	4.10722	0.94782	0.0010704	0.0235485	0.0246189
52	10	3.84272	0.886781	0.00121111	0.0266442	0.0278553
53	10	3.58817	0.828039	0.00122705	0.0269948	0.0282219
54	10	3.3435	0.771577	0.00123335	0.0271335	0.0283669
55	10	3.1089	0.717439	0.00123673	0.0272077	0.0284444
56	10	2.88461	0.665679	0.00123881	0.0272536	0.0284924
57	10	2.67083	0.616346	0.00124021	0.0272844	0.0285246
58	10	2.46776	0.569483	0.00124121	0.0273063	0.0285475
59	10	2.27554	0.525123	0.00124194	0.0273223	0.0285642
60	10	2.09425	0.483289	0.00124248	0.0273343	0.0285768
61	10	1.92395	0.443988	0.00124289	0.0273434	0.0285863
