Time	[x_CO2]	[RuBP_ch]	[PGA_ch]	[ATP_ch]	[BPGA_ch]	[x_NADPH_ch]	[GAP_ch]	[Pi_ch]	[DHAP_ch]	[FBP_ch]	[F6P_ch]	[E4P_ch]	[X5P_ch]	[SBP_ch]	[S7P_ch]	[R5P_ch]	[Ru5P_ch]	[x_Pi_cyt]	[x_GAP_cyt]	[G6P_ch]	[x_NADP_ch]	[x_PGA_cyt]	[ADP_ch]	[x_DHAP_cyt]	[x_Proton_ch]	[G1P_ch]	[x_Starch_ch]
0	1	0.33644	3.35479	0.49806	0.14825	0.21	0.01334	1.5662	0.29345	0.02776	1.36481	0.41021	0.00363	1.56486	0.00541	0.00599	0.00235	0.5	1	3.1396	0.29	1	0.00149	1	2.512e-05	0.18206	1
1	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
2	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
3	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
4	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
5	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
6	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
7	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
8	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
9	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
10	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
11	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
12	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
13	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
14	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
15	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
16	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
17	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
18	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
19	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
20	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
21	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
22	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
23	1	0.371962	1.05506	0.497428	0.0766871	0.21	0.0100573	0.740935	0.221256	0.0157988	1.92457	0.729288	0.00222943	2.09767	0.000981724	0.0037341	0.00149361	0.5	1	4.42651	0.29	1	0.00212152	1	2.512e-05	0.256738	1
