Time	[PER Protein (unphosphorylated)]	[TIM Protein (unphosphorylated)]	[PER Protein (mono-phosphorylated)]	[TIM Protein (mono-phosphorylated)]	[PER Protein (bi-phosphorylated)]	[TIM Protein (bi-phosphorylated)]	[Cytosolic PER-TIM Complex]	[Nuclear PER-TIM Complex]	[PER mRNA]	[TIM mRNA]
0	0	0	0	0	0	0	0	0	0	0
1	0.115657	0.115657	0.0765887	0.0765887	0.0262315	0.0262315	0.000136815	1.30229e-05	0.596322	0.596322
2	0.247677	0.247677	0.195599	0.195599	0.084998	0.084998	0.00276338	0.000604858	1.02787	1.02787
3	0.378468	0.378468	0.314875	0.314875	0.162919	0.162919	0.0131735	0.00439267	1.41457	1.41457
4	0.513802	0.513802	0.439069	0.439069	0.266044	0.266044	0.0401925	0.0172253	1.77676	1.77676
5	0.65697	0.65697	0.57174	0.57174	0.398199	0.398199	0.0987564	0.0502629	2.12248	2.12248
6	0.810207	0.810207	0.714467	0.714467	0.555648	0.555648	0.208774	0.12222	2.45583	2.45583
7	0.975098	0.975098	0.867341	0.867341	0.727514	0.727514	0.388	0.258853	2.77791	2.77791
8	1.14942	1.14942	1.02865	1.02865	0.901574	0.901574	0.644027	0.488056	3.07273	3.07273
9	1.30025	1.30025	1.1849	1.1849	1.06583	1.06583	0.970774	0.832868	3.22078	3.22078
10	1.30993	1.30993	1.2754	1.2754	1.19624	1.19624	1.33617	1.30251	2.98656	2.98656
11	1.10877	1.10877	1.20699	1.20699	1.25091	1.25091	1.6534	1.8727	2.45503	2.45503
12	0.8017	0.8017	0.972188	0.972188	1.19536	1.19536	1.80064	2.46415	1.839	1.839
13	0.506067	0.506067	0.666446	0.666446	1.01658	1.01658	1.69989	2.95522	1.22385	1.22385
14	0.269349	0.269349	0.387453	0.387453	0.723435	0.723435	1.37851	3.23302	0.651506	0.651506
15	0.101232	0.101232	0.172133	0.172133	0.355165	0.355165	0.974904	3.25292	0.197577	0.197577
16	0.0190252	0.0190252	0.0437239	0.0437239	0.0951611	0.0951611	0.682469	3.07416	0.0184293	0.0184293
17	0.00327677	0.00327677	0.0100203	0.0100203	0.0438542	0.0438542	0.544937	2.81797	0.00466536	0.00466536
18	0.00205598	0.00205598	0.00582851	0.00582851	0.0343813	0.0343813	0.472144	2.55719	0.0060307	0.0060307
19	0.0025193	0.0025193	0.00550587	0.00550587	0.030121	0.030121	0.42101	2.31345	0.00896405	0.00896405
20	0.00346354	0.00346354	0.00590684	0.00590684	0.0271324	0.0271324	0.378817	2.09099	0.0134473	0.0134473
21	0.00494665	0.00494665	0.00684367	0.00684367	0.0248526	0.0248526	0.341792	1.88937	0.0202257	0.0202257
22	0.00722299	0.00722299	0.00849571	0.00849571	0.0232123	0.0232123	0.308653	1.70703	0.0304707	0.0304707
23	0.0106994	0.0106994	0.0111955	0.0111955	0.0222845	0.0222845	0.278813	1.54224	0.0459691	0.0459691
24	0.0160006	0.0160006	0.0154637	0.0154637	0.0222477	0.0222477	0.251905	1.39334	0.0694195	0.0694195
25	0.0240702	0.0240702	0.0220917	0.0220917	0.0234144	0.0234144	0.227642	1.25884	0.104803	0.104803
26	0.0362841	0.0362841	0.0322431	0.0322431	0.0262916	0.0262916	0.205793	1.13737	0.157685	0.157685
27	0.0545105	0.0545105	0.0475216	0.0475216	0.031659	0.031659	0.186182	1.02772	0.235064	0.235064
