Time	[EmptySet]	[PER mRNA]	[unphosphorylated PER]	[monophosphorylated PER]	[biphosphorylated PER]	[nuclear PER]	[total PER]
0	0	0.1	0.25	0.25	0.25	0.25	1
1	0	0.593183	0.215154	0.160227	0.117591	0.226822	0.719793
2	0	0.95743	0.278981	0.157348	0.0928739	0.167419	0.696622
3	0	1.26871	0.379642	0.193697	0.0982043	0.146017	0.81756
4	0	1.54872	0.497718	0.2463	0.119818	0.157044	1.02088
5	0	1.80733	0.626736	0.307254	0.152152	0.190209	1.27635
6	0	2.04958	0.764822	0.373845	0.193069	0.239252	1.57099
7	0	2.27754	0.911657	0.445199	0.241866	0.30122	1.89994
8	0	2.49032	1.0671	0.521037	0.298425	0.374984	2.26154
9	0	2.68292	1.23011	0.60107	0.362776	0.460238	2.65419
10	0	2.84443	1.39745	0.684559	0.434784	0.556848	3.07364
11	0	2.95674	1.562	0.76988	0.513853	0.664364	3.51009
12	0	2.99676	1.71126	0.854105	0.598625	0.781565	3.94555
13	0	2.9447	1.82771	0.932813	0.686716	0.906028	4.35326
14	0	2.79458	1.89227	1.00033	0.774588	1.03382	4.70101
15	0	2.55782	1.88996	1.05038	0.857621	1.15941	4.95737
16	0	2.25723	1.81452	1.0769	0.930257	1.27574	5.09741
17	0	1.91864	1.67017	1.07465	0.986168	1.37448	5.10547
18	0	1.56644	1.47079	1.03999	1.01843	1.44623	4.97544
19	0	1.22354	1.23768	0.971887	1.01992	1.48088	4.71037
20	0	0.913324	0.996334	0.87338	0.984354	1.46851	4.32258
21	0	0.661421	0.772221	0.752874	0.908351	1.40137	3.83482
22	0	0.494723	0.586274	0.623775	0.794442	1.27729	3.28178
23	0	0.436841	0.451617	0.501562	0.653756	1.10375	2.71069
24	0	0.504341	0.373756	0.399875	0.505951	0.900309	2.17989
25	0	0.693528	0.353016	0.328618	0.374868	0.696457	1.75296
26	0	0.957509	0.383005	0.292596	0.279834	0.523584	1.47902
27	0	1.23831	0.450611	0.289434	0.226574	0.40252	1.36914
28	0	1.5085	0.543449	0.311687	0.208173	0.336224	1.39953
29	0	1.76262	0.653854	0.351629	0.214554	0.315326	1.53536
30	0	2.00128	0.777778	0.40375	0.238321	0.328088	1.74794
31	0	2.22499	0.913047	0.464733	0.275192	0.36553	2.0185
32	0	2.43211	1.05808	0.532622	0.32287	0.422034	2.3356
33	0	2.61742	1.21073	0.606031	0.380057	0.494335	2.69115
34	0	2.77047	1.36702	0.683508	0.445782	0.580422	3.07673
35	0	2.87483	1.51958	0.762996	0.518909	0.678645	3.48013
36	0	2.91027	1.65655	0.841392	0.597746	0.787021	3.8827
37	0	2.85976	1.76189	0.91434	0.679744	0.902676	4.25865
38	0	2.71806	1.8185	0.976414	0.761346	1.02148	4.57774
39	0	2.49497	1.81299	1.02169	0.838005	1.13786	4.81055
40	0	2.21083	1.73979	1.04443	0.904315	1.24493	4.93346
41	0	1.88959	1.60286	1.03977	0.954167	1.33457	4.93137
42	0	1.55478	1.41514	1.00445	0.980967	1.39775	4.7983
43	0	1.229	1.19646	0.937811	0.978105	1.42491	4.53728
44	0	0.935501	0.970519	0.843105	0.940023	1.40698	4.16063
45	0	0.69966	0.760995	0.728525	0.864201	1.33732	3.69104
46	0	0.548156	0.587522	0.606726	0.753903	1.2149	3.16306
47	0	0.505191	0.463001	0.492259	0.62044	1.048	2.6237
48	0	0.586489	0.393666	0.398248	0.482837	0.856057	2.13081
49	0	0.781775	0.379975	0.334274	0.363323	0.667256	1.74483
50	0	1.04154	0.414749	0.304282	0.278691	0.510263	1.50798
51	0	1.31441	0.48512	0.305215	0.232773	0.402686	1.42579
52	0	1.57739	0.5797	0.329877	0.218831	0.345927	1.47434
53	0	1.82557	0.691484	0.371216	0.227974	0.331176	1.62185
